title,author,rating,isbn,language,pages,ratings_count,reviews_count,year,publisher
Women Who Love Too Much,Robin Norwood,4.02,0099474123,eng,314,267,32,9/2/2004,Arrow
Men Who Hate Women and the Women Who Love Them: When Loving Hurts and You Don't Know Why,Susan Forward/Joan Torres,4.09,0553381415,eng,304,1570,64,1/2/2002,Bantam
A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,4.06,0767902521,eng,284,4315,532,5/4/1999,Broadway Books
A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,4.06,0307279464,eng,397,308840,14993,12/26/2006,Anchor Books
A Walk in the Woods (Stickerific),Walt Disney Company,3.5,0736411038,eng,16,8,0,1/23/2001,Golden/Disney
The Fortress of Solitude,Jonathan Lethem,3.88,0571219357,eng,528,16714,1010,1/6/2005,Faber and Faber
Fortress of Solitude / The Devil Genghis,Kenneth Robeson/Lester Dent,3.99,1932806490,eng,128,95,11,12/1/2006,Nostalgia Ventures
Our Ancestors: The Cloven Viscount  The Baron in the Trees  The Non-Existent Knight,Italo Calvino,4.27,0330261568,eng,393,958,57,12/31/1980,Picador
Difficult Loves,Italo Calvino,3.94,0156260557,en-US,300,4084,205,9/23/1985,Mariner Books
The Nonexistent Knight & The Cloven Viscount,Italo Calvino,4.03,0156659751,en-US,272,4701,181,3/28/1977,Mariner Books
The View from Castle Rock,Alice Munro,3.68,1400042828,eng,349,3459,423,11/7/2006,Alfred A. Knopf
The View From Castle Rock,Alice Munro,3.68,0771065264,eng,368,53,12,11/19/2008,McClelland and Stewart
Crossing to Safety,Wallace Stegner/Terry Tempest Williams/T.H. Watkins,4.16,037575931X,eng,368,31394,4262,4/9/2002,Modern Library
Oh Rats! The Story of Rats and People,Albert Marrin/C.B. Mordan,3.77,0525477624,eng,48,432,90,8/17/2006,Dutton Books for Young Readers
King Rat (Asian Saga  #4),James Clavell,4.14,0385333765,eng,368,28103,643,5/19/2009,Delta
Rat Bastards: The Life and Times of South Boston's Most Honorable Irish Mobster,"John ""Red"" Shea/Mark Wahlberg",3.51,0060837160,eng,304,34,3,3/14/2006,William Morrow
Julius Knipl  Real Estate Photographer: The Beauty Supply District,Ben Katchor,4.35,0375700986,eng,120,174,16,8/12/2003,Pantheon
Blind Willow  Sleeping Woman: 24 Stories,Haruki Murakami/Ellen Archer/Patrick Lawlor,3.84,1400102952,eng,0,28,3,10/15/2006,Tantor Media
Blind Willow  Sleeping Woman,Haruki Murakami/Philip Gabriel/Jay Rubin,3.84,1400044618,eng,333,22847,1280,8/29/2006,Alfred A. Knopf
The Bookseller of Kabul,Åsne Seierstad/Ingrid Christopherson,3.77,0316159417,en-US,288,34941,2473,10/26/2004,Little  Brown and Company
Jasmine and Stars: Reading More Than Lolita in Tehran,Fatemeh Keshavarz,3.63,0807831093,en-US,174,258,46,3/5/2007,University of North Carolina Press
Making Globalization Work,Joseph E. Stiglitz,3.85,0393061221,eng,384,1718,88,9/17/2006,W. W. Norton  Company
Prep : A Novel,Curtis Sittenfeld,3.38,081297235X,eng,420,55304,4450,11/22/2005,Random House Trade Paperbacks
Tan fuerte  tan cerca,Jonathan Safran Foer,3.98,8426415164,eng,457,47,1,9/30/2005,Lumen
The Wizard of Oz,Salman Rushdie/Richard Maltby/Melvyn Bragg,4.0,0851703003,eng,69,749,54,5/27/1992,British Film Institute
The Ground Beneath Her Feet,Salman Rushdie,3.79,0312254997,eng,576,9445,476,3/16/2000,Picador
The Moor's Last Sigh,Salman Rushdie,3.93,009959241X,eng,434,10414,445,7/4/1996,Vintage
Los Versos Satánicos,Salman Rushdie,3.71,8497598369,spa,679,1,0,8/30/2003,Debolsillo
Dangling Man,Saul Bellow/Salman Rushdie,3.54,0140189351,eng,191,1718,103,10/1/1996,Penguin Classics
Grimus,Salman Rushdie,3.41,0812969995,eng,320,2560,150,9/30/2003,Random House Trade
Breakfast at Tiffany's,Truman Capote,3.89,0140274111,eng,157,2107,238,9/3/1998,Penguin Books
Jesus' Son,Denis Johnson,4.09,041377242X,eng,192,321,30,1/23/2007,Methuen Publishing
Angels,Denis Johnson,3.72,0099440830,eng,209,4263,227,3/6/2003,Vintage
The Throne of the Third Heaven of the Nations Millennium General Assembly: Poems Collected and New,Denis Johnson,4.15,0060926961,eng,225,562,33,1/1/1996,Harper Perennial
The Stars at Noon,Denis Johnson,3.58,0060976101,eng,192,597,40,5/30/2000,Harper Perennial
The Rules of Attraction,Bret Easton Ellis,3.68,067978148X,eng,283,35311,974,6/30/1998,Vintage Contemporaries
Glamorama,Bret Easton Ellis,3.46,0375703845,eng,546,18181,669,3/21/2000,Vintage
Less Than Zero,Bret Easton Ellis,3.58,0679781498,eng,208,55900,2543,6/9/2010,Vintage Books
A Christmas Memory,Truman Capote,4.24,0375837892,eng,48,9982,849,10/10/2006,Knopf Books for Young Readers
In Cold Blood,Truman Capote/Bob Colacello,4.07,0375507906,eng,343,3266,332,3/5/2002,Modern Library
The Southern Haunting of Truman Capote,James C.    Simmons/Marie Rudisill,3.9,1581821360,eng,135,29,3,10/1/2000,Cumberland House Publishing
Summer Crossing,Truman Capote,3.44,0812975936,eng,142,5274,428,9/28/2006,Modern Library
Answered Prayers,Truman Capote,3.49,0141185937,eng,192,102,17,10/25/2001,Penguin Classics
The Grass Harp  Including A Tree of Night and Other Stories,Truman Capote,4.01,0679745572,eng,272,4533,188,9/28/1993,Vintage
From Babylon to Timbuktu: A History of the Ancient Black Races Including the Black Hebrews,Rudolph R. Windsor/El Hagahn,4.31,0962088110,eng,151,406,30,8/25/2006,Windsor Golden Series
Cruelest Journey: Six Hundred Miles To Timbuktu,Kira Salak,3.93,0792274571,eng,320,542,65,11/1/2004,National Geographic Society
Between Time and Timbuktu or Prometheus-5,Kurt Vonnegut Jr.,3.46,0385280793,eng,304,727,23,7/15/1972,Delta
Murder in Amsterdam: The Death of Theo van Gogh and the Limits of Tolerance,Ian Buruma,3.72,1594201080,eng,288,996,98,9/7/2006,Penguin Press HC  The
The Cement Garden,Ian McEwan,3.54,0099468387,eng,144,18376,1022,8/5/2004,Vintage
Atonement,Ian McEwan,3.9,0099429799,eng,372,4844,506,5/2/2002,Vintage
Gertrud The Great Of Helfta: Spiritual Exercises,Gertrude the Great/Gertrud Jaron Lewis,3.43,0879074493,eng,165,7,1,11/1/1989,Cistercian Publications
Gertrud,Hermann Hesse,3.85,3518373900,ger,180,134,5,1/1/1983,Suhrkamp
Der Prozess,Franz Kafka,3.98,0805232117,ger,0,2,0,5/5/1988,Schocken
Naokos Lächeln,Haruki Murakami/Ursula Gräfe,4.03,3442730503,ger,416,1254,63,2/1/2003,btb
The Ruined Map,Kōbō Abe/E. Dale Saunders,3.55,0375726527,eng,304,1398,105,12/4/2001,Vintage
The Face of Another,Kōbō Abe/E. Dale Saunders,3.78,0375726535,eng,238,2584,153,2/4/2003,Vintage
Three Plays: Involuntary Homicide / The Green Stockings / The Ghost is Here,Kōbō Abe/Donald Keene,3.91,0231082819,eng,233,83,4,3/1/1997,Columbia University Press
Secret Rendezvous,Kōbō Abe/Juliet Winters Carpenter,3.61,0375726543,eng,192,989,82,7/9/2002,Vintage
Oracle Night,Paul Auster,3.78,0965913228,eng,245,9941,462,12/2/2003,Henry Holt
Eleanor Rigby,Douglas Coupland,3.65,1582346437,eng,272,8517,372,5/30/2006,Bloomsbury USA
Homo Faber,Max Frisch,3.74,0156421356,eng,228,12491,267,5/1/1994,Mariner Books
Erläuterungen Zu Max Frisch  Homo Faber,Bernd Matzkowski,3.6,3804417833,ger,104,4,0,5/11/2002,C. Bange
Homo faber: Ein Bericht.,Max Frisch,3.74,3458340440,ger,298,37,5,1/1/1995,Insel
The Philosophy of Jean-Paul Sartre,Jean-Paul Sartre,3.89,1400076323,eng,512,190,8,5/27/2003,Vintage
Being and Nothingness,Jean-Paul Sartre/Hazel E. Barnes/Mary Warnock/Richard Eyre,3.96,0415278481,eng,688,23344,267,8/28/2003,Routledge
The Age of Reason,Jean-Paul Sartre,3.98,0679738959,eng,408,9477,313,7/7/1992,Vintage International
Die Entdeckung der Langsamkeit,Sten Nadolny,3.95,3492207006,ger,358,1806,27,3/28/1999,Piper Verlag
Youth in Revolt: The Journals of Nick Twisp,C.D. Payne,4.02,0385481969,eng,512,8257,793,1/1/2001,Broadway Books
And I Don't Want to Live This Life: A Mother's Story of Her Daughter's Murder,Deborah Spungen,4.1,0449911411,eng,408,4746,298,9/29/1996,Ballantine Books
Sid and Nancy: Love Kills,Alex Cox/Abbe Wool,3.48,0571145450,eng,143,140,5,12/31/1986,Faber & Faber
Flags of Our Fathers,James D. Bradley/Ron Powers,4.19,0553384155,eng,382,45954,1297,8/29/2006,Bantam
Flags of Our Fathers: A Young People's Edition,Michael R. French/Ron Powers/James D. Bradley,4.17,0440229200,eng,224,255,28,8/1/2006,Laurel Leaf Library
A Long Way Down,Nick Hornby,3.42,1594481938,eng,368,65202,3943,5/2/2006,Riverhead Books
Clockwork (Cover to Cover),Philip Pullman,3.87,185549695X,eng,0,24,1,7/29/2002,BBC Audiobooks
Mary Queen of Scots,Antonia Fraser,4.05,038531129X,eng,568,12235,306,9/1/1993,Delta
Mary Queen of Scots and the Murder of Lord Darnley,Alison Weir,4.04,0712664564,eng,640,4947,119,2/5/2004,Pimlico
On the Trail of Mary  Queen of Scots,J. Keith Cheetham,3.25,0946487502,eng,192,12,1,6/1/1999,Luath Press Ltd
River of Blue Fire (Otherland  #2),Tad Williams,4.02,0886778441,eng,675,13383,235,9/1/1999,Daw Books
Mary  Queen of Scots: Queen Without a Country,Kathryn Lasky,3.83,0439194040,eng,202,4825,148,5/1/2002,Scholastic
Mountain of Black Glass (Otherland  #3),Tad Williams,4.05,0886779065,eng,749,13265,163,9/12/2000,Daw Books
Mary  Queen of Scots: Pride  Passion and a Kingdom Lost,Jenny Wormald,3.72,1860645887,eng,224,39,6,5/4/2001,Tauris Parke Paperbacks
Queen of Scots: The True Life of Mary Stuart,John Guy,3.93,0618254110,eng,581,1882,155,4/7/2004,Houghton Mifflin
The Last Wife of Henry VIII,Carolly Erickson,3.89,0312352182,en-US,326,10702,366,10/3/2006,St. Martin's Press
The Children of Henry VIII,Alison Weir,4.05,0345407865,eng,385,11134,418,7/8/1997,Ballantine Books
The Last Days of Henry VIII,Robert Hutchinson,4.14,0060837330,eng,368,1523,23,9/20/2005,William Morrow
The Autobiography of Henry VIII: With Notes by His Fool  Will Somers,Margaret George,4.26,0312194390,eng,939,24108,822,9/15/1998,Griffin
Henry VIII (Shakespeare  Pelican),William Shakespeare/Stephen Orgel,3.54,0140714758,eng,126,93,14,8/1/2001,Penguin Classics
The Memoirs of Cleopatra,Margaret George,4.18,0330353829,eng,1139,15616,913,1/10/1998,MacMillan General Books
Saint George and the Dragon,Margaret Hodges/Trina Schart Hyman,4.18,0316367958,eng,32,6935,389,9/4/1990,Little  Brown Books for Young Readers
Kiss Me Like a Stranger: My Search for Love and Art,Gene Wilder,3.9,0312337078,eng,261,3668,419,3/7/2006,St. Martin's Griffin
Wie ich eines schönen Morgens im April das 100%ige Mädchen sah,Haruki Murakami/Nora Bierich,3.8,3499222507,ger,218,44,2,8/1/1998,Rowohlt Tb
The Complete Sherlock Holmes  Volume I,Arthur Conan Doyle/Kyle Freeman,4.49,1593080344,eng,709,26794,278,9/1/2003,Barnes  Noble Classics
The Complete Sherlock Holmes  Volume II,Arthur Conan Doyle/Kyle Freeman,4.47,1593080409,eng,709,874,57,10/1/2003,Barnes  Noble Classics
The Last of Her Kind,Sigrid Nunez,3.72,0312425945,eng,391,1459,242,12/12/2006,Picador USA
Anatomy of Love: A Natural History of Mating  Marriage  and Why We Stray,Helen Fisher,3.94,0449908976,en-US,432,501,36,1/3/1994,Ballantine Books
The Devil's in the Details (A Camilla MacPhee Mystery  #4),Mary Jane Maffini,4.0,189491712X,eng,320,63,11,10/1/2004,Napoleon and Co
Wigfield: The Can-Do Town That Just May Not,Amy Sedaris/Stephen Colbert/Paul Dinello,3.58,1565117727,eng,5,81,19,5/19/2004,Highbridge Audio
The SantaLand Diaries and Season's Greetings,David Sedaris/Joe Mantello,4.18,0822216310,eng,54,584,34,12/1/1998,Dramatists Play Service
Jenny and the Jaws of Life: Short Stories,Jincy Willett/David Sedaris,3.74,0312306180,en-US,272,1307,178,9/14/2002,St. Martin's Griffin
Venac sonetnih venaca; Puževa srma,Dobrica Erić,0.0,8644101277,srp,222,0,0,1/1/1996,"Izdavačka agencija ""Draganić"""
View With a Grain of Sand: Selected Poems,Wisława Szymborska/Stanisław Barańczak/Clare Cavanagh,4.33,0156002167,eng,214,3479,211,5/26/1995,Mariner Books
View with a Grain of Sand: Selected Poems,Wisława Szymborska,4.33,0571191630,eng,214,33,7,10/23/1996,Faber  Faber
Poems New and Collected,Wisława Szymborska/Clare Cavanagh,4.43,0156011468,eng,296,2561,120,11/16/2000,Mariner Books
Sounds  Feelings  Thoughts:  Seventy Poems by Wislawa Szymborska,Wisława Szymborska/Magnus J. Kruyski,4.36,0691013802,eng,232,229,22,8/21/1981,Princeton University Press
Miracle Fair: Selected Poems,Wisława Szymborska/Joanna Trzeciak/Czesław Miłosz,4.42,0393323854,eng,159,482,47,11/17/2002,W. W. Norton  Company
Jane Eyre,Charlotte Brontë/Michael Mason,4.12,0142437204,eng,532,1409369,27884,2/4/2003,Penguin
The Far Pavilions,M.M. Kaye,4.21,0517333414,eng,0,19,4,12/12/1988,Random House Value Publishing
Death in Kashmir,M.M. Kaye,3.95,0312263104,eng,256,1511,104,12/1/2000,St. Martins Press-3PL
The Sun in the Morning: My Early Years in India and England,M.M. Kaye,4.22,0312049994,en-US,454,249,39,9/1/1990,St. Martin's Press
Death in the Andamans,M.M. Kaye,3.93,0312252811,eng,272,845,57,2/11/2000,Minotaur Books
Death in Berlin,M.M. Kaye,3.89,0312263082,eng,272,889,62,6/8/2000,Minotaur Books
The Far Pavilions,M.M. Kaye,4.21,031215125X,en-US,958,37064,1028,1/15/1997,St. Martin's Griffin
Enchanted Evening,M.M. Kaye,4.38,0312265816,eng,368,99,11,12/5/2000,St. Martin's Press
Pathologies of Power: Health  Human Rights and the New War on the Poor,Paul Farmer/Amartya Sen,4.25,0520243269,eng,438,3994,212,11/22/2004,University of California Press
Infections and Inequalities: The Modern Plagues,Paul Farmer,4.09,0520229134,eng,424,2534,80,2/23/2001,University of California Press
Mountains Beyond Mountains: The Quest of Dr. Paul Farmer  a Man Who Would Cure the World,Tracy Kidder,4.21,0812973011,eng,333,63813,4347,8/31/2004,Random House Trade
The Tao of Physics: An Exploration of the Parallels between Modern Physics and Eastern Mysticism,Fritjof Capra,3.97,1570625190,eng,366,14183,398,1/4/2000,Shambhala
Dr. Mary's Monkey: How the Unsolved Murder of a Doctor  a Secret Laboratory in New Orleans and Cancer-Causing Monkey Viruses are Linked to Lee Harvey Oswald  the JFK Assassination and Emerging Global Epidemics,Edward T. Haslam/Jim Marrs,3.92,0977795306,eng,374,1023,164,4/1/2007,Trine Day
The Art of Richard P. Feynman,Michelle Feynman,4.31,2884490477,en-US,174,13,2,7/1/1995,Routledge
The Early History of God: Yahweh and the Other Deities in Ancient Israel,Mark S. Smith/Patrick D. Miller,4.03,080283972X,eng,243,238,29,8/28/2002,Eerdmans
Haiti  History  and the Gods,Joan Dayan/Colin Dayan,3.95,0520213688,eng,362,37,1,3/10/1998,University of California Press
Acts of God: The Unnatural History of Natural Disaster in America,Ted Steinberg,3.72,0195309685,eng,309,104,8,6/1/2006,Oxford University Press  USA
The World's Religions,Huston Smith,4.07,0062508113,eng,416,8741,306,9/13/1991,HarperOne
Introduction to World Religions,Christopher Partridge,3.78,0800637143,eng,495,44,4,3/24/2005,Augsburg Fortress Publishing
FDR's Folly: How Roosevelt and His New Deal Prolonged the Great Depression,Jim  Powell,4.0,140005477X,eng,352,481,45,9/28/2004,Crown Forum
Folly and Glory (The Berrybender Narratives  #4),Larry McMurtry,3.87,0743262727,en-US,358,1341,88,8/8/2005,Simon  Schuster
The Argumentative Indian: Writings on Indian History  Culture and Identity,Amartya Sen,3.8,031242602X,eng,432,6550,337,9/5/2006,Picador
Argumentative Indian: Writings On Indian History Culture And Identity,Amartya Sen,3.8,0713996870,eng,391,29,7,6/28/2005,Allen Lane
Things to Bring  S#!t to Do: And Other Inventories of Anxiety: My Life in Lists,Karen Rizzo,3.67,1584795425,eng,160,48,12,10/1/2006,Stewart  Tabori and Chang
Dumpy's Valentine,Julie Andrews Edwards/Emma Walton Hamilton/Tony Walton/Ruby Randig,3.31,0060885734,eng,24,22,4,12/12/2006,Julie Andrews Collection
Mandy,Julie Andrews Edwards/Johanna Westerman,4.24,0061131628,eng,320,9944,846,8/15/2006,HarperCollins
Giraffes Can't Dance,Giles Andreae/Guy Parker-Rees/Hugh Laurie,4.3,1846162661,eng,32,15,3,6/1/2006,Orchard Books
The Medici Giraffe and Other Tales of Exotic Animals and Power,Marina Belozerskaya,3.53,0316525650,eng,414,224,37,8/21/2006,Little  Brown and Company
The Giraffe Who Was Afraid of Heights (Physical & Behavioral Adaptation),David A. Ufer/Kirsten Carlson,3.87,0976882302,eng,32,37,9,6/1/2006,Arbordale Publishing
Where the Red Fern Grows with Connections,Wilson Rawls/Rafe Martin/Borden Deal/Kemp P. Battle/Robert Bethke/Harold Courlander/Maya Angelou/Nicholasa Mohr/Dick Perry/John R. Erickson,4.37,0030547741,eng,288,121,5,9/1/1998,Holt McDougal
Summer of the Monkeys,Wilson Rawls,4.03,0440415802,eng,288,11150,794,12/29/1998,Yearling
Dreams from My Father: A Story of Race and Inheritance,Barack Obama,3.88,0307383415,en-US,442,1225,181,1/9/2007,Crown
Doctor Who: Cat's Cradle-Time's Crucible,Marc Platt,3.22,0426203658,eng,275,589,40,2/20/1992,Virgin Publishing
Doctor Who: Cat's Cradle-Witch Mark,Andrew    Hunt,3.22,0426203682,eng,256,399,25,6/18/1992,Virgin Publishing
Doctor Who: Cat's Cradle-Warhead,Andrew Cartmel,3.51,0426203674,eng,262,410,34,4/16/1992,Virgin Publishing
He's Just Not That Into You: The No-Excuses Truth to Understanding Guys,Greg Behrendt/Liz Tuccillo,3.66,141694740X,eng,208,52688,2463,12/26/2006,Gallery Books
Do Not Open This Book,Michaela Muntean/Pascal Lemaître,3.9,0439698391,eng,40,547,185,3/1/2006,Scholastic Press
Not Your Mother's Slow Cooker Cookbook,Beth Hensperger/Julie Kaufmann,3.78,1558322450,en-US,520,5695,87,12/21/2004,Harvard Common Press
Hands Are Not for Hitting (Ages 4-7),Martine Agassi/Marieka Heinlen,4.04,1575420775,eng,35,309,45,2/1/2001,Free Spirit Publishing
Not So Big House,Sarah Susanka/Kira Obolensky,4.07,1561583766,eng,208,1327,149,4/20/2001,Taunton Press
Rodinsky's Room,Rachel Lichtenstein/Iain Sinclair,3.85,1862073295,eng,362,199,19,2/1/2000,Granta UK
The Rough Guide to Cuba 3,Fiona McAuslan/Matthew  Norman,3.82,1843534096,eng,640,7,1,6/20/2005,Rough Guides
Cuba: A New History,Richard Gott,4.06,0300111142,en-GB,384,311,39,11/11/2005,Yale University Press
Cuba 15,Nancy Osa,3.45,0385732333,eng,304,1054,145,3/8/2005,Ember
Cuba (Jake Grafton #7),Stephen Coonts,3.82,0312971397,eng,461,1452,63,5/15/2000,St. Martin's Paperbacks
The Memory Keeper's Daughter,Kim Edwards,3.67,0143037145,eng,401,535636,17550,5/30/2006,Penguin Books
Too Far to Go: The Maples Stories,John Updike,4.02,0449200167,eng,256,361,35,6/12/1982,Fawcett Books
Far to Go (Margaret Thursday  #2),Noel Streatfeild,3.81,0440424941,eng,161,167,9,2/1/1986,Yearling
The Children on the Top Floor,Noel Streatfeild,3.79,0440412242,en-GB,180,148,17,7/1/1985,Yearling
Desolation Angels,Jack Kerouac/Joyce Johnson,3.93,1573225053,eng,432,9646,273,9/1/1995,Riverhead Books
Healing With Whole Foods: Asian Traditions and Modern Nutrition,Paul Pitchford,4.41,1556434308,en-US,784,2948,144,11/5/2002,North Atlantic Books
The New Whole Foods Encyclopedia: A Comprehensive Resource for Healthy Eating,Rebecca  Wood/Paul Pitchford,4.2,0140250328,eng,464,212,18,7/1/1999,Penguin Books
The Discomfort Zone: A Personal Journey,Jonathan Franzen,3.4,1598870548,en-US,6,43,15,8/28/2006,HighBridge Company
The Parrot's Lament  and Other True Tales of Animal Intrigue  Intelligence  and Ingenuity,Eugene Linden,3.93,0452280680,eng,224,363,50,8/1/2000,Plume
Postscript to the Name of the Rose,Umberto Eco,4.05,015173156X,eng,84,661,34,1/1/1984,Houghton Mifflin Harcourt P
El nombre de la rosa,Umberto Eco,4.12,8497592581,spa,782,158,11,2/28/2006,DeBolsillo
Baby Names for Dummies,Margaret  Rose/Heather Rose Jones,3.32,0764543407,eng,364,13,7,5/1/2005,For Dummies
The Mysterious Flame of Queen Loana,Umberto Eco/Geoffrey Brock,3.35,0156030438,eng,480,8263,624,6/5/2006,Mariner Books
History of Beauty,Umberto Eco/Girolamo De Michele/Alastair McEwen/Agnolo di Cosimo Bronzino,3.78,0847826465,eng,432,47625,186,11/13/2004,Rizzoli
Baudolino,Umberto Eco/William Weaver/R.C.S. Libri,3.74,0156029065,eng,527,16116,698,10/6/2003,Harcourt
Travels in Hyperreality,Umberto Eco/John Radziewicz/William Weaver,3.89,0156913216,eng,324,2021,78,5/27/1990,Mariner Books
How to Travel with a Salmon and Other Essays,Umberto Eco/William Weaver,3.85,015600125X,eng,256,218,26,9/15/1995,Mariner Books
A Theory of Semiotics,Umberto Eco,4.01,0253202175,eng,368,1035,34,2/1/1978,Indiana University Press
Art and Beauty in the Middle Ages,Umberto Eco/Hugh Bredin,3.99,0300093047,en-US,144,994,35,2/8/2002,Yale University Press
Mouse or Rat?: Translation as Negotiation,Umberto Eco,3.8,0753817985,eng,208,311,27,9/28/2004,Orion Publishing Co.
The Role of the Reader: Explorations in the Semiotics of Texts,Umberto Eco,4.06,025320318X,eng,288,224,5,7/22/1979,Indiana University Press
Libraries,Candida Höfer/Umberto Eco,4.28,3829601867,eng,271,303,44,8/20/2014,Schirmer/Mosel
The Art of War,Sun Tzu/Thomas Cleary/Pulat Otkan/Giray Fidan,3.97,1590302257,eng,273,235924,5869,1/11/2005,Shambhala
Sun Tzu: The Art of War for Managers; 50 Strategic Rules,Sun Tzu/Gerald A. Michaelson,3.8,1580624596,eng,224,316,12,1/1/2001,Adams Media
The Art of War,Sun Tzu/Ralph D. Sawyer,3.97,1402561016,eng,5,72,22,6/1/2003,Recorded Books  Inc.
The Lost Continent:  Travels in Small-town America,Bill Bryson,3.83,0552998087,eng,379,729,78,1/2/1999,Black Swan
Made in America: An Informal History of the English Language in the United States,Bill Bryson,3.91,0380713810,eng,364,10836,613,10/23/2001,Avon Books
Ulysses,James Joyce/Declan Kiberd,3.73,0141182806,en-US,933,1517,235,3/30/2000,Penguin Books Ltd
The Long-Lost Map (Ulysses Moore #2),Pierdomenico Baccalario/Iacopo Bruno/Leah D. Janeczko,4.0,043977439X,eng,272,1693,76,7/1/2006,Scholastic Inc.
The Wicked Wit of Charles Dickens,Shelley Klein/Charles Dickens,3.55,1854790471,eng,162,30,6,9/1/2002,Michael O'Mara
The Three Musketeers,Alexandre Dumas/Barbara T. Cooper,4.07,1593081480,eng,761,1149,147,11/25/2004,Barnes  Noble Classics
The Three Musketeers,Alexandre Dumas/Michael Page,4.07,1596009705,eng,24,54,11,7/25/2005,Brilliance Audio
The Three Musketeers (Great Illustrated Classics),Malvina G. Vogel/Alexandre Dumas,4.08,1577658035,eng,236,1379,56,12/3/2005,Baronet Books
The Three Musketeers (The d'Artagnan Romances. #1),Alexandre Dumas/Keith Wren,4.07,1853260401,eng,592,820,92,5/5/2001,Wordsworth Editions
Lisey's Story,Stephen King,3.68,0743289412,eng,513,59097,2709,10/24/2006,Scribner
King Arthur Flour Whole Grain Baking: Delicious Recipes Using Nutritious Whole Grains,King Arthur Flour,4.13,0881507199,eng,544,4866,78,10/9/2006,Countryman Press
King Dork (King Dork  #1),Frank Portman,3.56,0385732910,eng,344,6352,861,4/11/2006,Delacorte Press
A Clash of Kings  (A Song of Ice and Fire  #2),George R.R. Martin,4.41,0553381695,eng,969,638766,16535,5/28/2002,Bantam
The Colorado Kid,Stephen King,3.32,0843955848,eng,178,24611,1970,2/20/2006,Hard Crime Case
Stationary Bike,Stephen King/Ron McLarty,3.54,0743555619,eng,44,3035,167,7/1/2006,Simon & Schuster Audio
Everything's Eventual: 14 Dark Tales,Stephen King,3.97,1416524355,eng,605,73145,1519,11/1/2005,Pocket Books
The Mist,Stephen King/ZBS Foundation,3.95,0671874756,eng,2,168,10,9/1/1993,Simon & Schuster Audio
Pet Sematary,Stephen King,3.98,1416524347,eng,576,257466,3768,11/1/2005,Pocket Books
Insomnia,Stephen King/Bettina Blanch Tyroller,3.82,8497597729,spa,890,117901,2028,2/28/2005,Debolsillo
The Stephen King Collection: Stories from Night Shift,Stephen King/John  Glover,4.0,0739317369,eng,11,56,9,2/8/2005,Random House Audio
The Man in the Black Suit: 4 Dark Tales,Stephen King/Ana Juan/John Cullum/Becky Ann Baker/Íñigo Jáuregui/Peter Gerety/Arliss Howard,3.78,074352585X,eng,128,1369,101,11/1/2002,Simon  Schuster Audio
The Shining,Stephen King/Campbell Scott,4.22,0743537009,eng,16,357,107,8/2/2005,Simon & Schuster Audio
Stephen King: America's Best-Loved Boogeyman,George Beahm,3.78,0836254279,en-US,304,50,2,5/1/1998,Andrews McMeel Publishing
The Illustrated Stephen King Trivia Book,Brian James Freeman/Bev Vincent/Glenn Chadbourne,4.23,1587671166,eng,404,22,5,5/1/2005,Cemetery Dance Publications
Gray Matter and Other Stories from Night Shift,Stephen King/John  Glover,3.93,055347183X,eng,0,156,9,8/1/1993,Random House Audio
Cujo,Stephen King,3.71,0307348245,spa,432,197993,2816,6/6/2006,Plaza y Janés
Thinner,Richard Bachman/Stephen King,3.71,0451190750,eng,320,155020,1513,9/1/1996,Signet
Stephen King from A to Z: An Encyclopedia of His Life and Work,George Beahm,3.83,0836269144,eng,251,53,2,3/31/1999,Andrews McMeel Publishing
Black House (The Talisman  #2),Stephen King/Peter Straub,4.01,034547063X,eng,688,46428,1220,9/30/2003,Ballantine Books
The Stephen King Universe: A Guide to the Worlds of the King of Horror,Stanley Wiater/Christopher Golden/Hank Wagner,4.15,1580631606,en-US,478,6471,44,5/21/2001,Renaissance Books
Night Shift,Stephen King,4.0,0451170113,en-US,326,1290,84,2/1/1979,Signet
Misery,Stephen King,4.16,0450417395,eng,370,429510,7051,11/1/1988,New English Library
The Bachman Books,Richard Bachman/Stephen King,4.11,0452277752,eng,704,62529,494,10/1/1996,Plume
Misery,Stephen King/María Mir,4.16,074323359X,spa,368,129,13,3/26/2002,Simon & Schuster Libros en Español
Carrie,Stephen King,3.96,0671039725,eng,253,2707,192,10/1/1999,Pocket Books
"Four Past Midnight: Featuring ""The Langoliers""",Stephen King,3.93,0451185978,eng,761,308,20,5/1/1995,Signet
Christine,Stephen King/Marie Milpois,3.77,2253147699,fre,411,178403,2088,6/13/2001,LGF
Sam Walton: Made In America,Sam Walton/John Huey,4.15,0553562835,eng,346,14157,610,6/1/1993,Bantam
The Road to Reality: A Complete Guide to the Laws of the Universe,Roger Penrose,4.11,0679776311,eng,1099,6164,142,1/9/2007,Vintage
The Paradox of Choice: Why More Is Less,Barry Schwartz,3.85,0060005696,eng,265,25312,1223,1/18/2005,Harper Perennial
Coach: Lessons on the Game of Life,Michael   Lewis,3.82,0393060918,en-US,96,1502,167,4/17/2005,W. W. Norton  Company
Losers: The Road to Everyplace But the White House,Michael   Lewis,3.87,0679768092,en-US,320,235,19,7/28/1998,Vintage
